a_id,u_id,a_street,a_city,a_state,a_zipcode,a_country
716,462,872 Harris Union Apt. 424,Lauraburgh,Oregon,15325,Lebanon
717,463,4160 James Falls Apt. 700,Christianton,Idaho,69585,Libyan Arab Jamahiriya
718,463,1202 Jessica Shoal Apt. 175,Michaelview,California,52713,Falkland Islands (Malvinas)
719,464,210 Sullivan Curve Suite 501,Georgeshire,New Hampshire,33644,Falkland Islands (Malvinas)
720,464,36078 Carter Plains,East Alexander,Mississippi,67044,Zambia
721,465,38368 Ronald Underpass Apt. 457,East Dennis,New York,10393,Ethiopia
722,466,197 Cody Cape Apt. 967,Caldwelltown,South Carolina,17425,Guernsey
723,467,201 Andrea Stravenue,Davidbury,Virginia,20082,Mongolia
724,468,49379 Wagner Ramp Apt. 585,Lisaland,Nevada,28158,Spain
725,469,49207 Rivas Mount Suite 142,Annamouth,Kansas,76892,Isle of Man
726,469,2591 Heather Fall,Denisefort,Washington,59422,Dominica
727,470,772 Phillips Roads Suite 354,Stoneburgh,Rhode Island,49835,Guyana
728,470,56438 Mary Ridges Apt. 348,Lake Kennethport,New Mexico,76677,Tonga
729,471,00940 Robert Knoll Suite 376,West Natasha,Montana,50563,Puerto Rico
730,472,54920 Robert Rapid,North Caitlin,Colorado,94588,Ethiopia
731,473,52731 Karen Ferry,South Lance,California,34399,Liechtenstein
732,474,9001 Martinez Ridge Apt. 359,Shaneport,Hawaii,21199,Morocco
733,475,596 Buck Orchard,Roblesland,Minnesota,33163,Tokelau
734,475,26247 Richard Branch,Lake Jamesshire,Alaska,75821,Argentina
735,476,4761 Turner Mission,Wrightmouth,Massachusetts,34554,Palestinian Territory
736,476,423 Richard Park,Lake Janice,Arkansas,96800,Jersey
737,477,4939 Kevin Fort Suite 904,Melissashire,Idaho,90795,Guatemala
738,477,783 Bryant Gateway,East Johnfort,Iowa,36838,Guam
739,478,302 Rodney Courts,East Kelly,New Mexico,33727,Angola
740,478,72033 Williams Cliffs Suite 023,West Cody,Alaska,64395,Russian Federation
741,479,5587 Linda Grove,West Edwinport,Michigan,52047,Gambia
742,480,99255 David Fort,South Kelliland,Pennsylvania,12445,Tanzania
743,480,505 Jessica Inlet,Sarahland,South Carolina,93948,Tunisia
744,481,57557 Patricia Lock Suite 328,West Robert,Alaska,56938,British Indian Ocean Territory (Chagos Archipelago)
745,482,18563 Anderson Well Apt. 761,Bobberg,Arkansas,41709,New Caledonia
746,482,569 Murray Club Suite 336,New Bobbyshire,Arizona,14827,Aruba
747,483,6103 Todd Passage,New Brittneyton,Louisiana,51715,Palestinian Territory
748,483,3881 Rasmussen Mountains,Christopherstad,Nebraska,78604,Aruba
749,484,096 Holder Trace Apt. 672,North Timothyberg,Virginia,64500,Cayman Islands
750,484,814 Moore Fields,Clarkchester,Maine,02826,Lao People's Democratic Republic
751,485,083 Kayla Rapids,Farleyhaven,Wisconsin,78936,Myanmar
752,486,45498 Robert Common Suite 674,South Nicholashaven,Washington,55270,Korea
753,486,85711 Torres Meadows Apt. 595,Clarkport,Kansas,98869,Benin
754,487,739 Allen Bypass,West Allison,Minnesota,56668,Greenland
755,488,77730 Cory Park,Rodriguezburgh,Nebraska,14621,Holy See (Vatican City State)
756,488,720 Douglas Shores Apt. 254,Manuelton,Michigan,39270,Nauru
757,489,099 Ashley Park,Welchbury,North Dakota,67347,Lesotho
758,489,6163 James Underpass,Johnbury,Wyoming,88483,Bahamas
759,490,91435 Christina River,North Travis,Virginia,36936,Botswana
760,491,965 Gutierrez Loaf Apt. 897,West Cory,Rhode Island,49992,Cayman Islands
761,491,2756 Adam Crossroad,North David,Maine,05606,Holy See (Vatican City State)
762,492,771 Michael Shoals Suite 890,Curtishaven,South Dakota,22259,Sierra Leone
763,493,1666 Jenna Unions,Port Hectorshire,Florida,64437,Malta
764,493,7909 Marsh Mall Apt. 527,Carrside,Maine,40182,Gabon
765,494,22482 Herrera Villages,Leeland,Kansas,60989,Dominica
766,494,45031 Robin Bypass Apt. 669,West Kristinbury,Texas,75703,Ireland
767,495,1047 Morgan Port,Port Curtisshire,South Carolina,16910,Saint Martin
768,496,9247 Castro Skyway Apt. 410,West Christian,Colorado,26453,Saudi Arabia
769,496,118 Larry Junctions,Lake Janeburgh,Massachusetts,83886,Brazil
770,497,044 Johnson Lake Suite 094,Port Yvonnefurt,New Jersey,13619,French Polynesia
771,497,310 Dan Valleys Suite 645,Martinezberg,New Jersey,43508,Panama
772,498,407 Johnson Forest Suite 449,Smithbury,Kansas,80252,Botswana
773,499,9412 Richmond Cliffs,Port Paulbury,Hawaii,56419,Senegal
774,500,3180 Burns Locks Apt. 101,New Carriemouth,Maine,53847,Solomon Islands
775,500,53606 Smith Harbors,Robertshaven,Montana,61302,Netherlands Antilles
